7.959362274650334523e-01,7.069589372506299707e-01
9.676995275085132908e-01,9.166603571507853099e-01
4.200309436559888088e-01,5.048493579776988094e-01
6.073551351180835889e-01,1.297162426266278423e-01
6.173170785217354517e-01,7.442453443188726814e-01
7.748417332201984475e-01,6.641989983531368935e-01
8.406814295241138435e-01,8.071144861852166397e-01
7.938625413016497934e-01,9.616132792622276160e-01
3.621562965888870389e-01,7.110646020680417845e-01
4.552171634373269882e-03,4.734581523125205305e-01
1.984911765472796574e-01,2.634808630035911925e-02
2.551462777884605515e-01,7.522530225138210902e-01
3.643143772279340276e-01,5.114077508326196897e-01
1.759552442123440974e-01,6.483084431595240726e-01
5.442471083803421816e-01,9.135097047309933549e-01
3.686222414966632277e-01,8.041791996388435448e-01
9.762939462549467817e-02,2.498700410147483009e-01
8.208629403410747094e-02,8.471601513629106739e-02
1.153657291555559294e-01,6.941634895454711074e-02
1.188566482960582565e-01,5.396190886616270693e-02
8.504541674564813913e-02,9.603531566122468222e-02
5.120213382017607673e-01,6.362810746967047237e-02
6.963245339147250412e-01,4.873314674213383713e-01
3.552168741999719437e-01,4.210241506109454468e-01
7.937144935292149706e-01,2.517927256413310388e-03
